
EventDateTime         EventName                        EventResult EventType         Message
6/23/2023 6:42:16 AM  AppAttachHealthCheck             success     deviceHealthCheck 
6/23/2023 6:11:09 AM  DomainJoinedCheck                success     deviceHealthCheck 
6/23/2023 6:11:09 AM  DomainTrustCheck                 success     deviceHealthCheck 
6/23/2023 6:11:09 AM  SxSStackListenerCheck            success     deviceHealthCheck 
6/23/2023 6:11:09 AM  MonitoringAgentCheck             success     deviceHealthCheck 
6/23/2023 6:11:09 AM  MetaDataServiceCheck             success     deviceHealthCheck 
6/23/2023 6:11:09 AM  AppAttachHealthCheck             success     deviceHealthCheck 
6/23/2023 2:32:09 AM  Connection Started               success     userConnection    
6/23/2023 12:36:30 AM DomainJoinedCheck                success     deviceHealthCheck 
6/23/2023 12:36:30 AM DomainTrustCheck                 success     deviceHealthCheck 
6/23/2023 12:36:30 AM SxSStackListenerCheck            success     deviceHealthCheck 
6/23/2023 12:36:30 AM MonitoringAgentCheck             success     deviceHealthCheck 
6/23/2023 12:36:30 AM MetaDataServiceCheck             success     deviceHealthCheck 
6/23/2023 12:36:30 AM AppAttachHealthCheck             success     deviceHealthCheck 

